Hero,Win_rate,Rank
Reinhardt,52.1,All
Ana,49.92,All
Moira,49.95,All
Zarya,52.9,All
Mercy,51.32,All
McCree,47.43,All
Lúcio,51.76,All
Ashe,53.39,All
Roadhog,49.7,All
Sigma,50.85,All
Genji,50.54,All
Soldier: 76,49.48,All
Junkrat,52.12,All
Wrecking Ball,50.94,All
D.Va,48.38,All
Echo,50.35,All
Winston,47.72,All
Reaper,50.56,All
Brigitte,55.7,All
Baptiste,46.5,All
Doomfist,52.35,All
Orisa,49.77,All
Hanzo,47.44,All
Tracer,49.48,All
Pharah,54.15,All
Zenyatta,53.46,All
Widowmaker,50.44,All
Torbjörn,57.4,All
Mei,48.07,All
Symmetra,58.08,All
Sombra,47.34,All
Bastion,55.0,All
Moira,47.62,Bronze
Reinhardt,48.86,Bronze
Mercy,46.39,Bronze
Ana,46.02,Bronze
Lúcio,49.47,Bronze
Zarya,48.83,Bronze
Junkrat,47.58,Bronze
D.Va,44.32,Bronze
Sigma,47.81,Bronze
Orisa,48.09,Bronze
Soldier: 76,45.82,Bronze
Reaper,47.83,Bronze
Roadhog,45.85,Bronze
McCree,44.61,Bronze
Ashe,48.92,Bronze
Baptiste,45.05,Bronze
Genji,45.18,Bronze
Echo,43.68,Bronze
Wrecking Ball,47.83,Bronze
Winston,46.27,Bronze
Pharah,48.53,Bronze
Torbjörn,55.27,Bronze
Zenyatta,50.11,Bronze
Brigitte,51.74,Bronze
Hanzo,43.93,Bronze
Doomfist,50.67,Bronze
Mei,44.53,Bronze
Symmetra,56.58,Bronze
Tracer,44.33,Bronze
Bastion,50.77,Bronze
Widowmaker,43.24,Bronze
Sombra,42.83,Bronze
Reinhardt,51.15,Silver
Moira,48.64,Silver
Ana,47.82,Silver
Mercy,49.35,Silver
Zarya,50.62,Silver
Lúcio,51.17,Silver
Junkrat,50.2,Silver
McCree,45.91,Silver
Ashe,51.01,Silver
Sigma,49.51,Silver
Soldier: 76,47.61,Silver
Roadhog,46.85,Silver
Reaper,49.35,Silver
D.Va,47.58,Silver
Genji,48.74,Silver
Orisa,49.21,Silver
Pharah,53.37,Silver
Echo,48.23,Silver
Winston,46.44,Silver
Baptiste,44.51,Silver
Wrecking Ball,49.78,Silver
Brigitte,55.37,Silver
Doomfist,49.24,Silver
Zenyatta,49.94,Silver
Torbjörn,56.67,Silver
Hanzo,46.0,Silver
Tracer,45.23,Silver
Mei,46.74,Silver
Widowmaker,47.39,Silver
Symmetra,57.53,Silver
Bastion,54.66,Silver
Sombra,44.19,Silver
Reinhardt,51.44,Gold
Ana,48.61,Gold
Moira,49.84,Gold
